"Chr","Start","End","Conc","Conc_colon","Conc_liver","Fold","p-value","FDR"
"chr7",117633428,117633910,3.98,3.09,4.52,-1.43,0.29,1
"chr3",64560932,64561533,3.21,2.37,3.73,-1.37,0.29,1
"chr8",109594797,109595166,3.25,2.27,3.83,-1.57,0.29,1
"chr12",120794378,120794853,4,3.18,4.52,-1.34,0.29,1
"chr5",107205263,107205824,3.42,2.6,3.93,-1.34,0.29,1
"chr7",134042288,134043308,3.73,2.89,4.26,-1.36,0.29,1
"chr5",89457004,89457646,3.44,2.64,3.95,-1.3,0.29,1
"chr12",38034242,38038290,3.07,3.56,2.32,1.25,0.29,1
"chr2",137157246,137157807,2.35,1.38,2.92,-1.53,0.29,1
"chr7",15929163,15929561,2.81,1.94,3.35,-1.4,0.291,1
"chr5",112999231,113000035,3.4,2.6,3.92,-1.32,0.291,1
"chr3",148444989,148445497,3.1,2.25,3.63,-1.38,0.291,1
"chr18",11732908,11733417,3.61,2.74,4.14,-1.41,0.291,1
"chr6",8195574,8196022,2.95,2.02,3.51,-1.5,0.291,1
"chr12",44351467,44351941,3.22,2.25,3.8,-1.55,0.291,1
"chr3",31082813,31083316,3.59,2.77,4.11,-1.35,0.291,1
"chr5",107552556,107553123,3.74,2.86,4.28,-1.41,0.291,1
"chr21",9825385,9827615,10.47,10.29,10.63,-0.35,0.291,1
"chr3",176231993,176232445,3.08,2.11,3.66,-1.54,0.292,1
"chr1",153210978,153211569,2.33,1.49,2.85,-1.36,0.292,1
"chr1",60368827,60369270,3.4,2.49,3.95,-1.45,0.292,1
"chr5",118650852,118651803,3.87,3.03,4.4,-1.37,0.292,1
"chr7",66385829,66386470,4.82,4.01,5.34,-1.33,0.292,1
"chr11",121297848,121298236,3.22,2.4,3.73,-1.33,0.292,1
"chr8",10834632,10835022,3.26,2.48,3.76,-1.28,0.292,1
"chr1",59942935,59943568,3.74,2.92,4.26,-1.34,0.292,1
"chr2",169818081,169818447,2.84,2.02,3.36,-1.34,0.292,1
"chr14",31449244,31449780,2.78,1.97,3.29,-1.32,0.292,1
"chr1",37157026,37157394,3.54,2.72,4.05,-1.33,0.292,1
"chr3",122282966,122283671,4.89,4.07,5.41,-1.34,0.292,1
"chr8",14121764,14122221,3.06,2.14,3.61,-1.48,0.293,1
"chr4",144695095,144695601,3.91,3.09,4.43,-1.34,0.293,1
"chr7",31483009,31483414,3.24,2.33,3.79,-1.47,0.293,1
"chr1",95774511,95774944,3.45,2.6,3.99,-1.39,0.293,1
"chr6",153184966,153185422,3.33,2.46,3.86,-1.4,0.293,1
"chr1",157743469,157744109,3.19,2.31,3.74,-1.43,0.293,1
"chr3",192284508,192284911,3.63,2.72,4.18,-1.46,0.293,1
"chr11",47174600,47175005,2.9,2.14,3.4,-1.26,0.293,1
"chr15",82105592,82105936,2.7,1.69,3.28,-1.59,0.293,1
"chr6",27463457,27463823,1.57,0.53,2.16,-1.63,0.293,1
"chr18",55225083,55225582,3.18,2.35,3.7,-1.35,0.293,1
"chr3",141365650,141365997,3.01,2.02,3.59,-1.57,0.293,1
"chr15",22697730,22698440,1.5,0.38,2.12,-1.74,0.294,1
"chr11",114131723,114132167,3.28,2.37,3.83,-1.47,0.294,1
"chr8",107775180,107775707,3.92,3.09,4.45,-1.35,0.294,1
"chr7",123512241,123512769,4.06,3.17,4.61,-1.44,0.294,1
"chr4",164933710,164934205,3.66,2.84,4.18,-1.34,0.294,1
"chr2",239347949,239348535,3.82,3.01,4.33,-1.33,0.295,1
"chr2",113357543,113358024,3.34,2.55,3.85,-1.3,0.295,1
"chr10",51622787,51623879,0.63,-1.06,1.39,-2.44,0.295,1
"chr7",153736657,153737315,0.63,-1.06,1.39,-2.44,0.295,1
"chr18",10520109,10520586,2.97,2.14,3.5,-1.36,0.295,1
"chr18",2302711,2303261,3.49,2.64,4.03,-1.38,0.295,1
"chr7",92327874,92328128,2.58,1.72,3.12,-1.39,0.295,1
"chr10",86865429,86865817,2.96,2.07,3.51,-1.44,0.296,1
"chr22",35550888,35551307,2.96,2.07,3.51,-1.44,0.296,1
"chr3",163207941,163208395,2.98,2.07,3.53,-1.46,0.296,1
"chr4",85603070,85603452,3.24,2.48,3.74,-1.26,0.296,1
"chr6",166511114,166511811,4.46,3.62,4.98,-1.36,0.296,1
"chr1",76308206,76308607,2.44,1.56,2.97,-1.41,0.296,1
"chr8",72887384,72887890,3.32,2.46,3.86,-1.4,0.296,1
"chr8",98748549,98748956,3.87,3.08,4.37,-1.29,0.296,1
"chr7",32204192,32204540,2.95,2.11,3.48,-1.37,0.296,1
"chr8",123208183,123208579,3.3,2.49,3.82,-1.32,0.296,1
"chr2",182410732,182411279,3.18,2.33,3.71,-1.38,0.297,1
"chr2",144041623,144042033,3.03,2.09,3.59,-1.5,0.297,1
"chr2",130913600,130914034,3.22,2.31,3.78,-1.47,0.297,1
"chr9",33658467,33659281,3.33,2.55,3.83,-1.28,0.297,1
"chr10",76025712,76026192,3.25,2.29,3.82,-1.53,0.297,1
"chr10",86605354,86605821,3.71,2.8,4.27,-1.47,0.298,1
"chr2",38689169,38689885,5.08,4.23,5.61,-1.37,0.298,1
"chr1",83097833,83098347,3.35,2.48,3.89,-1.41,0.298,1
"chr6",99567194,99567700,3.23,2.35,3.78,-1.43,0.298,1
"chr4",148299901,148300754,3.2,2.39,3.72,-1.33,0.298,1
"chr1",182112265,182112833,3.86,3.11,4.35,-1.24,0.298,1
"chr7",113883007,113883872,3.23,2.44,3.73,-1.29,0.298,1
"chr10",99930203,99930627,3.47,2.66,3.98,-1.32,0.298,1
"chr4",89533080,89533816,3.88,3.08,4.39,-1.31,0.298,1
"chr4",102206647,102207288,3.14,2.25,3.68,-1.44,0.299,1
"chr7",61739419,61739765,1.39,2.04,0.16,1.88,0.299,1
"chr7",142508791,142509276,3.29,2.37,3.85,-1.49,0.299,1
"chr7",35470098,35470525,3.22,2.48,3.7,-1.23,0.299,1
"chr4",48580364,48580852,3.31,2.53,3.82,-1.29,0.299,1
"chr6",54200723,54201124,3.29,2.48,3.81,-1.33,0.3,1
"chr1",120125402,120125840,3.54,2.68,4.08,-1.4,0.3,1
"chr11",79111753,79112192,3.14,2.25,3.69,-1.45,0.3,1
"chr3",118347604,118347999,3.58,2.8,4.09,-1.29,0.3,1
"chr7",27249885,27250557,3.75,2.97,4.25,-1.28,0.3,1
"chr13",36295024,36295408,3.58,2.75,4.1,-1.34,0.3,1
"chr11",133691602,133691987,3.18,2.29,3.73,-1.44,0.3,1
"chr2",134575585,134576267,4.04,3.2,4.57,-1.37,0.3,1
"chr1",169750306,169750917,3.44,2.58,3.97,-1.39,0.301,1
"chr6",138194441,138194754,1.5,2.11,0.39,1.72,0.301,1
"chr7",140015810,140016586,3.72,2.93,4.23,-1.3,0.301,1
"chr4",187606073,187607251,4.18,3.37,4.7,-1.34,0.301,1
"chr1",116257276,116257754,3.41,2.61,3.92,-1.3,0.301,1
"chr8",24369011,24369463,3.24,2.31,3.8,-1.49,0.302,1
"chr2",47116114,47116643,3.17,2.27,3.72,-1.45,0.302,1
"chr11",585248,585707,1.35,2,0.16,1.83,0.302,1
"chr1",224938584,224938975,1.48,0.39,2.1,-1.72,0.302,1
"chr14",22788141,22788515,2.62,1.78,3.15,-1.37,0.302,1
"chr3",171069407,171069823,3.53,2.72,4.04,-1.32,0.302,1
"chr17",74178209,74178648,3.52,2.78,4.01,-1.23,0.302,1
"chr1",85575096,85575475,3.24,2.38,3.77,-1.39,0.302,1
"chr9",71300673,71301139,3.48,2.56,4.04,-1.48,0.302,1
"chr1",165893844,165894360,3.71,2.89,4.23,-1.34,0.303,1
"chr8",33191885,33192681,3.91,3.16,4.4,-1.24,0.303,1
"chr11",101731423,101731834,3.38,2.56,3.9,-1.34,0.303,1
"chr8",82907952,82908929,3.35,2.49,3.88,-1.39,0.304,1
"chr1",70500100,70500508,3.09,2.14,3.66,-1.52,0.304,1
"chr12",70983701,70984110,2.87,2.04,3.39,-1.35,0.304,1
"chr8",70556035,70556575,4.17,3.4,4.66,-1.26,0.304,1
"chrX",23925425,23926374,5.43,4.62,5.94,-1.31,0.304,1
"chr6",166726729,166727172,3.02,2.16,3.55,-1.39,0.304,1
"chr4",179477912,179478613,4.61,3.71,5.16,-1.45,0.304,1
"chr1",214640097,214640847,4.24,3.45,4.75,-1.3,0.305,1
"chr10",90234029,90234835,3.55,2.77,4.05,-1.29,0.305,1
"chr10",26862680,26863033,2.02,1,2.61,-1.62,0.305,1
"chr12",69684743,69685121,2.89,1.99,3.44,-1.45,0.305,1
"chr5",111482572,111483098,3.39,2.53,3.92,-1.39,0.305,1
"chr1",162660697,162661099,3.31,2.51,3.82,-1.31,0.305,1
"chr3",27984562,27984957,3.04,2.2,3.57,-1.36,0.305,1
"chr4",98420052,98420407,3.53,2.61,4.09,-1.48,0.306,1
"chr11",134809812,134810206,2.95,2.09,3.49,-1.4,0.306,1
"chrY",58980410,58980845,2.77,3.26,2.02,1.24,0.306,1
"chr9",31597887,31598467,3.21,2.37,3.74,-1.37,0.306,1
"chr5",10962168,10962551,2.67,1.84,3.2,-1.36,0.306,1
"chr9",98980328,98980876,3.81,3.08,4.3,-1.22,0.306,1
"chr12",47055110,47055507,3.06,2.2,3.59,-1.39,0.306,1
"chr7",78947063,78947431,2.87,1.97,3.42,-1.46,0.306,1
"chr15",29860877,29861377,3.46,2.55,4.01,-1.46,0.306,1
"chr2",87766240,87766689,3.03,2.16,3.57,-1.41,0.307,1
"chr9",83617056,83617488,3.2,2.38,3.71,-1.33,0.307,1
"chr9",79626825,79627430,4.44,3.6,4.97,-1.36,0.307,1
"chr11",117097123,117097502,3.35,2.51,3.87,-1.36,0.307,1
"chr9",21711452,21711828,3.31,2.42,3.86,-1.43,0.307,1
"chr3",139847365,139847825,3.42,2.6,3.94,-1.34,0.307,1
"chr12",60202065,60202527,2.85,2.02,3.37,-1.35,0.308,1
"chr10",13023574,13024205,3.76,2.98,4.26,-1.28,0.308,1
"chr4",121252730,121253654,3.37,2.61,3.86,-1.25,0.308,1
"chr10",97878281,97878981,4.46,3.68,4.96,-1.28,0.308,1
"chr18",51645863,51646326,3.79,2.98,4.31,-1.32,0.308,1
"chr2",205009905,205010382,4.09,3.33,4.59,-1.26,0.308,1
"chr5",140971631,140972006,2.52,1.66,3.05,-1.39,0.308,1
"chr11",103479852,103480584,4.57,3.76,5.09,-1.33,0.308,1
"chr2",154143674,154144424,3.59,2.77,4.12,-1.35,0.308,1
"chr7",34127712,34128163,3.34,2.55,3.86,-1.31,0.308,1
"chr5",45520919,45521788,2.82,1.97,3.35,-1.38,0.308,1
"chr19",21511662,21512475,5.31,4.5,5.82,-1.32,0.309,1
"chr1",185650202,185650598,3.14,2.37,3.64,-1.28,0.309,1
"chr6",28651946,28652442,3.04,2.11,3.6,-1.49,0.309,1
"chr1",236653197,236653641,3.26,2.39,3.8,-1.42,0.309,1
"chr2",119622654,119623132,3.89,3.08,4.4,-1.32,0.309,1
"chr20",16782579,16782987,3.38,2.51,3.91,-1.4,0.309,1
"chr2",58798118,58798812,4.36,3.51,4.9,-1.38,0.309,1
"chr4",5823304,5823774,3.33,2.56,3.83,-1.27,0.309,1
"chr11",35856947,35857327,2.59,1.69,3.14,-1.44,0.31,1
"chr3",30730539,30731137,4.55,3.71,5.07,-1.36,0.31,1
"chr6",11143934,11145029,4.41,3.65,4.9,-1.25,0.31,1
"chr2",180286754,180287182,2.98,2.14,3.51,-1.37,0.31,1
"chr11",55024844,55027060,1.33,1.97,0.16,1.81,0.31,1
"chr3",96335925,96337365,3.67,2.92,4.16,-1.24,0.31,1
"chr20",55606211,55607128,2.73,1.94,3.23,-1.29,0.31,1
"chr2",73200737,73201152,3.12,2.37,3.62,-1.25,0.311,1
"chr19",56320773,56321144,3.31,2.49,3.82,-1.33,0.311,1
"chr7",94517806,94518175,3.17,2.31,3.71,-1.4,0.311,1
"chr8",6776776,6777267,3.38,2.55,3.91,-1.37,0.311,1
"chr6",127875614,127875994,2.8,1.94,3.33,-1.38,0.311,1
"chr4",53777883,53778287,3.15,2.35,3.66,-1.32,0.311,1
"chr1",55606223,55606569,2.82,1.94,3.36,-1.41,0.312,1
"chr1",165042610,165042904,2.82,1.94,3.36,-1.41,0.312,1
"chr6",32557444,32557866,1.02,-0.4,1.73,-2.13,0.312,1
"chr16",48088891,48089392,3.67,2.94,4.16,-1.21,0.312,1
"chr5",82031072,82031765,3.73,2.97,4.23,-1.26,0.312,1
"chr17",10130135,10130568,3.33,2.61,3.81,-1.2,0.312,1
"chr16",46707242,46707753,3.12,2.31,3.64,-1.33,0.312,1
"chr1",184970570,184971288,2.31,1.42,2.86,-1.43,0.312,1
"chr14",21566559,21566977,3.62,2.82,4.13,-1.3,0.313,1
"chr1",218694920,218695277,2.48,1.56,3.03,-1.47,0.313,1
"chr15",85498643,85499052,3.61,2.89,4.09,-1.2,0.313,1
"chr10",113358118,113358589,3.91,3.08,4.44,-1.36,0.313,1
"chr7",5704917,5705431,3.07,2.31,3.56,-1.25,0.313,1
"chr5",168374280,168374699,3.72,2.93,4.23,-1.3,0.313,1
"chr4",123819516,123820012,3.57,2.75,4.09,-1.33,0.313,1
"chr11",104125048,104125470,3.33,2.46,3.86,-1.4,0.313,1
"chr10",124463263,124463793,4.25,3.43,4.77,-1.34,0.314,1
"chr1",76457171,76457623,3.43,2.6,3.95,-1.36,0.314,1
"chr19",21105794,21106485,4.25,3.42,4.78,-1.35,0.314,1
"chr2",134399038,134399481,3.52,2.71,4.03,-1.33,0.314,1
"chr4",177711082,177711426,2.93,2.14,3.44,-1.3,0.314,1
"chr2",213641674,213642178,3.25,2.37,3.8,-1.43,0.314,1
"chr3",192520701,192521113,2.78,1.89,3.33,-1.44,0.314,1
"chr10",103769507,103770000,4.03,3.22,4.54,-1.31,0.314,1
"chr6",1641406,1642029,3.71,2.97,4.2,-1.23,0.315,1
"chr4",74207083,74207441,2.97,2.18,3.48,-1.3,0.315,1
"chr3",159390526,159391147,3.27,2.44,3.79,-1.35,0.315,1
"chr3",158443084,158443748,4.04,3.27,4.54,-1.27,0.315,1
"chr13",20451036,20451449,2.6,1.66,3.16,-1.5,0.315,1
"chr4",83995194,83995569,2.6,1.66,3.16,-1.5,0.315,1
"chr1",159167711,159168187,3.72,2.88,4.25,-1.37,0.315,1
"chr4",9900180,9900672,3.33,2.53,3.84,-1.31,0.315,1
"chr12",106599154,106599595,3.54,2.78,4.04,-1.26,0.315,1
"chr4",5208025,5208481,3.12,2.29,3.65,-1.36,0.315,1
"chr7",55244870,55245678,3.39,2.58,3.9,-1.33,0.316,1
"chr15",88817677,88818199,3.79,3.01,4.29,-1.28,0.316,1
"chr2",41627169,41627653,2.59,1.72,3.13,-1.41,0.316,1
"chr3",179529302,179529829,4,3.22,4.5,-1.28,0.316,1
"chr2",130010994,130011415,3.34,2.46,3.88,-1.42,0.316,1
"chr22",40654564,40654907,2.55,1.66,3.1,-1.44,0.316,1
"chr3",24306185,24306590,3,2.09,3.55,-1.46,0.317,1
"chr10",113041220,113041706,3.67,2.89,4.17,-1.28,0.317,1
"chrX",9534304,9534758,2.9,2.07,3.42,-1.36,0.317,1
"chr18",72219155,72219620,3.89,3.13,4.38,-1.26,0.317,1
"chr11",130934277,130934700,2.94,2.11,3.47,-1.35,0.317,1
"chr5",136021918,136022314,2.94,2.11,3.47,-1.35,0.317,1
"chr4",189308521,189309009,3.1,2.25,3.63,-1.38,0.317,1
"chr10",111612141,111612616,4.34,3.58,4.83,-1.25,0.317,1
"chr16",77633662,77634055,2.78,1.97,3.29,-1.32,0.317,1
"chr3",139656574,139656912,2.95,2.07,3.49,-1.42,0.317,1
"chr5",136656223,136656508,2.66,1.69,3.24,-1.55,0.317,1
"chr7",55347420,55348066,3.89,3.1,4.39,-1.29,0.317,1
"chr13",104792402,104793267,3.52,2.71,4.04,-1.34,0.317,1
"chr13",95087878,95088254,3.01,2.18,3.54,-1.35,0.317,1
"chr9",123817881,123818321,2.96,2.16,3.47,-1.31,0.317,1
"chr7",94065305,94065745,2.93,2.11,3.44,-1.33,0.317,1
"chr11",10709798,10710332,3.31,2.58,3.8,-1.22,0.317,1
"chr1",153005371,153005760,2.74,1.86,3.28,-1.42,0.317,1
"chr7",89699584,89699997,2.74,1.86,3.28,-1.42,0.317,1
"chr5",130056055,130056479,3.2,2.31,3.75,-1.44,0.317,1
"chr3",184521064,184521445,3.09,2.31,3.6,-1.29,0.318,1
"chr12",29317442,29318119,3.4,2.49,3.96,-1.46,0.318,1
"chr11",48194390,48194811,2.99,2.22,3.49,-1.26,0.318,1
"chr17",77848189,77848631,2.91,2.18,3.4,-1.22,0.318,1
"chr1",188206806,188207378,3.73,2.92,4.25,-1.33,0.318,1
"chr14",89133826,89134226,3.08,2.25,3.61,-1.36,0.318,1
"chr15",98452565,98452947,3.68,2.89,4.18,-1.29,0.318,1
"chr3",139935055,139935460,2.72,1.86,3.26,-1.39,0.318,1
"chr5",157809512,157809863,2.95,2.09,3.48,-1.39,0.318,1
"chr20",39597300,39597789,3.37,2.61,3.87,-1.26,0.318,1
"chr6",118709175,118709953,3.39,2.6,3.9,-1.3,0.318,1
"chr10",38679571,38679939,2.12,1.18,2.68,-1.5,0.318,1
"chr6",10434514,10435787,4.25,3.49,4.75,-1.26,0.318,1
"chr21",39084482,39084932,3.15,2.39,3.64,-1.26,0.319,1
"chr6",8983121,8983807,4.13,3.29,4.66,-1.38,0.319,1
"chr9",44211353,44211751,0.95,-0.4,1.64,-2.05,0.319,1
"chr10",18916631,18916969,2.3,1.38,2.86,-1.47,0.319,1
"chr7",149983156,149983842,2.3,1.38,2.86,-1.47,0.319,1
"chr13",76450502,76451135,4.03,3.21,4.55,-1.34,0.319,1
"chr7",101740873,101741410,4.26,3.49,4.77,-1.28,0.319,1
"chr4",91095852,91096364,3.24,2.48,3.73,-1.26,0.319,1
"chr4",10412342,10412742,2.76,1.86,3.31,-1.45,0.319,1
"chr9",71199294,71200036,3.95,3.15,4.46,-1.31,0.319,1
"chr7",79435506,79436509,3.02,2.25,3.53,-1.28,0.319,1
"chr3",38562940,38563320,2.45,1.56,3,-1.43,0.319,1
"chr8",19794413,19794856,2.98,2.14,3.51,-1.38,0.319,1
"chr6",17086553,17087074,3.53,2.77,4.03,-1.26,0.319,1
"chr2",169966016,169966687,3.86,3.11,4.35,-1.24,0.319,1
"chr20",1745039,1745429,3.12,2.33,3.63,-1.3,0.319,1
"chr1",14133692,14134104,3.02,2.09,3.58,-1.49,0.319,1
"chr2",139586914,139587300,3.27,2.4,3.81,-1.41,0.32,1
"chr6",119097736,119098160,3.21,2.44,3.71,-1.27,0.32,1
"chr5",135389101,135389742,4.46,3.68,4.97,-1.29,0.32,1
"chr2",30934547,30934881,3.87,3.13,4.35,-1.23,0.32,1
"chr8",126924112,126924566,3.65,2.82,4.17,-1.34,0.32,1
"chrX",153402134,153402554,2.53,1.66,3.06,-1.4,0.32,1
"chr3",27352422,27353905,4.94,4.15,5.45,-1.3,0.32,1
"chr1",113261314,113261712,4.22,3.45,4.73,-1.28,0.32,1
"chr9",43582367,43583228,3.87,3.07,4.39,-1.32,0.32,1
"chr3",13259497,13260043,3.52,2.77,4.01,-1.24,0.32,1
"chr8",128295506,128296070,4.46,3.7,4.96,-1.26,0.32,1
"chr8",121787438,121787819,3.63,2.82,4.14,-1.31,0.32,1
"chr3",156966316,156967040,4.09,3.29,4.61,-1.32,0.32,1
"chr7",95140993,95141445,3.23,2.42,3.74,-1.32,0.32,1
"chr15",90955874,90956663,4.32,3.52,4.83,-1.31,0.32,1
"chr2",99528794,99529395,3.86,3.11,4.35,-1.23,0.32,1
"chrX",80457255,80457827,4.4,3.53,4.94,-1.41,0.32,1
"chr18",57450276,57450875,4.64,3.82,5.16,-1.34,0.32,1
"chr6",115866415,115866983,3.66,2.84,4.18,-1.34,0.321,1
"chr19",50770173,50770570,3.32,2.58,3.8,-1.22,0.321,1
"chr7",52085843,52086558,4.17,3.36,4.68,-1.33,0.321,1
"chr11",82961055,82961449,2.6,1.69,3.15,-1.46,0.321,1
"chr3",192758805,192759327,3.34,2.56,3.84,-1.27,0.321,1
"chr12",62517476,62517813,3.13,2.39,3.62,-1.23,0.321,1
"chr5",7927830,7928327,3.37,2.53,3.89,-1.36,0.321,1
"chr4",77154922,77156003,4.83,4.06,5.33,-1.27,0.321,1
"chr12",127567806,127568350,3.51,2.69,4.03,-1.34,0.321,1
"chr3",39680745,39681267,4.54,3.74,5.06,-1.32,0.321,1
"chr6",91410930,91411461,3.24,2.42,3.76,-1.34,0.321,1
"chr3",87553061,87553473,3.08,2.22,3.61,-1.39,0.321,1
"chr8",91007589,91008070,3.08,2.31,3.57,-1.27,0.321,1
"chr6",83299360,83299837,2.88,2.04,3.4,-1.36,0.322,1
"chr13",52810169,52810708,2.76,1.92,3.28,-1.37,0.322,1
"chr6",97074588,97075179,3.51,2.72,4.02,-1.29,0.322,1
"chr1",176918127,176918535,3.72,2.92,4.24,-1.32,0.322,1
"chr7",137311178,137311561,2.89,2.04,3.42,-1.38,0.322,1
"chr8",121963362,121963753,3.38,2.64,3.87,-1.22,0.322,1
"chr11",48859226,48859600,0.51,-1.06,1.24,-2.29,0.323,1
"chr2",207846431,207847465,3.73,2.93,4.24,-1.31,0.323,1
"chr2",139509853,139510658,3.61,2.88,4.09,-1.21,0.323,1
"chr5",149696661,149697228,4.54,3.8,5.03,-1.23,0.323,1
"chr22",51213567,51213918,3.04,2.27,3.54,-1.28,0.324,1
"chr5",178069436,178069948,3.04,2.33,3.51,-1.19,0.324,1
"chr8",68645851,68646392,4.41,3.6,4.93,-1.33,0.324,1
"chr8",109255228,109255775,4.41,3.59,4.94,-1.35,0.324,1
"chr4",104916186,104918144,4.98,4.22,5.47,-1.25,0.324,1
"chr13",76362766,76363157,2.68,1.86,3.2,-1.33,0.324,1
"chr10",116231061,116231477,3.4,2.69,3.88,-1.19,0.324,1
"chr10",23324448,23324831,2.72,1.92,3.23,-1.31,0.324,1
"chr11",122051147,122051636,3.72,2.97,4.22,-1.25,0.324,1
"chr17",16654745,16655468,3.07,2.33,3.56,-1.23,0.324,1
"chr1",225039151,225039551,3.19,2.37,3.71,-1.34,0.325,1
"chr15",97778488,97778966,3.19,2.37,3.71,-1.34,0.325,1
"chr7",7455781,7456251,2.91,2.04,3.45,-1.41,0.325,1
"chr2",135540420,135540785,2.87,2.02,3.41,-1.39,0.325,1
"chr2",156107286,156107718,3.17,1.81,3.86,-2.05,0.325,1
"chr6",111963705,111964152,2.97,2.16,3.49,-1.33,0.326,1
"chr9",37472293,37472850,3.87,3.06,4.39,-1.33,0.326,1
"chr7",111375668,111376070,2.86,1.99,3.4,-1.4,0.326,1
"chr2",160778267,160778803,3.89,3.14,4.38,-1.24,0.326,1
"chr17",49399721,49400183,3.57,2.84,4.05,-1.21,0.326,1
"chr11",103279114,103281438,2.51,1.72,3.02,-1.3,0.326,1
"chr4",157852367,157852824,3.92,3.11,4.43,-1.32,0.326,1
"chr11",121065472,121065886,3.01,2.2,3.53,-1.33,0.326,1
"chr5",83731554,83732111,3.71,2.91,4.22,-1.32,0.326,1
"chr2",191443152,191443807,3.6,2.8,4.12,-1.32,0.326,1
"chr5",38464104,38464605,3.79,3.03,4.28,-1.25,0.326,1
"chr1",53910278,53910714,3.55,2.77,4.05,-1.29,0.326,1
"chrX",99702723,99703157,3.56,2.81,4.05,-1.24,0.326,1
"chr5",79945768,79947996,3.9,3.24,4.35,-1.12,0.327,1
"chr11",124065589,124066209,3.51,2.8,3.99,-1.2,0.327,1
"chr3",118501425,118502012,3.25,2.46,3.76,-1.3,0.327,1
"chr2",200850331,200850740,3.16,2.33,3.68,-1.36,0.327,1
"chr8",79632331,79632916,3.18,2.33,3.71,-1.38,0.327,1
"chr2",181438560,181439110,3.68,2.88,4.19,-1.31,0.327,1
"chr10",94002870,94003313,2.98,2.16,3.51,-1.35,0.327,1
"chr10",62950306,62950737,3.57,2.78,4.08,-1.3,0.327,1
"chr2",135249146,135249836,3.95,3.14,4.47,-1.33,0.327,1
"chr2",65937740,65938515,3.42,2.68,3.9,-1.23,0.327,1
"chrX",129464624,129465021,2.66,1.84,3.18,-1.34,0.327,1
"chr4",150629691,150630341,3.14,2.33,3.66,-1.34,0.328,1
"chr21",36880732,36880993,2.7,1.84,3.24,-1.4,0.328,1
"chrX",135659679,135660147,3.41,2.68,3.9,-1.22,0.328,1
"chr21",38432526,38433115,3.55,2.75,4.06,-1.31,0.328,1
"chr5",119793534,119794376,5.44,4.59,5.97,-1.38,0.328,1
"chr19",11337989,11338545,3.05,2.33,3.54,-1.21,0.328,1
"chr7",35559788,35560316,3.55,2.82,4.04,-1.21,0.328,1
"chr7",154861686,154862172,3.65,2.89,4.14,-1.25,0.329,1
"chr8",90334166,90334974,3.73,2.89,4.26,-1.37,0.329,1
"chr20",53265933,53266340,3.2,2.4,3.71,-1.3,0.329,1
"chr2",207256909,207257228,2.51,1.56,3.08,-1.51,0.329,1
"chrX",107018842,107019333,3.33,2.48,3.86,-1.39,0.329,1
"chr10",38880945,38882294,0.99,1.66,-0.3,1.96,0.329,1
"chr13",53360809,53361728,4.52,3.74,5.02,-1.27,0.329,1
"chr8",73454731,73455315,3.48,2.71,3.99,-1.28,0.329,1
"chr8",41852723,41853039,2.66,1.86,3.17,-1.3,0.329,1
"chr10",92352573,92353027,2.82,2.04,3.32,-1.28,0.329,1
"chr2",148089571,148089979,2.82,2.04,3.32,-1.28,0.329,1
"chr3",97907433,97907809,2.48,1.56,3.04,-1.48,0.329,1
"chrX",130109877,130110239,2.48,1.56,3.04,-1.48,0.329,1
"chrX",129095173,129095624,3.67,2.86,4.18,-1.32,0.329,1
"chr17",53239582,53240011,3.61,2.8,4.12,-1.33,0.329,1
"chr3",100789052,100789480,3.44,2.63,3.96,-1.33,0.33,1
"chr4",155947129,155947614,3.41,2.53,3.95,-1.42,0.33,1
"chr2",106778426,106778830,3.75,2.97,4.26,-1.29,0.33,1
"chr11",9769978,9770341,2.9,2.16,3.39,-1.23,0.33,1
"chr13",97670301,97670856,3.86,3.11,4.35,-1.24,0.33,1
"chrX",62643824,62644454,3.7,2.96,4.19,-1.24,0.33,1
"chr11",50757648,50759042,1.96,2.51,1.04,1.48,0.33,1
"chr4",172963880,172964368,3.07,2.31,3.57,-1.26,0.33,1
"chr1",111066966,111067674,4,3.26,4.49,-1.23,0.33,1
"chr10",86184408,86184843,3.1,2.31,3.61,-1.3,0.33,1
"chr3",71760027,71760527,3.1,2.31,3.61,-1.3,0.33,1
"chr5",143204640,143205104,4.15,3.37,4.65,-1.28,0.331,1
"chr6",97386328,97387508,3.95,3.13,4.48,-1.35,0.331,1
"chr3",161226617,161227252,3.5,2.75,3.99,-1.24,0.331,1
"chr13",95014629,95015067,3.81,2.98,4.33,-1.35,0.331,1
"chr2",72594859,72595380,3.81,2.98,4.33,-1.35,0.331,1
"chr16",29126484,29127115,2.83,2.04,3.33,-1.29,0.331,1
"chr3",127244152,127244635,3.4,2.66,3.89,-1.23,0.331,1
"chr8",77318163,77318731,3.44,2.66,3.94,-1.28,0.331,1
"chr5",112849129,112850015,5.51,4.74,6.01,-1.27,0.331,1
"chr3",56374485,56374908,3.05,2.2,3.58,-1.37,0.331,1
"chr20",23779813,23780342,3.12,2.35,3.63,-1.28,0.331,1
"chr7",119121949,119122654,3.94,3.21,4.42,-1.21,0.331,1
"chr3",5099434,5099932,3.88,3.08,4.39,-1.31,0.331,1
"chr4",81287057,81287458,2.84,2.02,3.36,-1.34,0.331,1
"chr6",125080568,125081046,2.66,1.72,3.22,-1.5,0.332,1
"chr7",155149343,155149832,3.64,2.88,4.13,-1.25,0.332,1
